CASE,PIPE DIAMETER [mm],COLUMN LENGTH [mm],PARTICLES DIAMETER [mm],PARTICLES COUNT,L/D,D/Dp,POROSITY,FLOW RATE [L/min],TEMPERATURE [℃],SUPERFICIAL VELOCITY [m/s],PRESSURE DROP [Pa],STAT VERIFIED

SP-10-D50x423-G61.1,50,423,10,950,8.46,5,0.401,61.1,23,0.519,41,42,41.5,TRUE
SP-10-D50x423-G65.55,50,423,10,950,8.46,5,0.401,65.55,23,0.556,46,47,46.5,TRUE
SP-10-D50x423-G68.7,50,423,10,950,8.46,5,0.401,68.7,23,0.583,50,52,51,TRUE
SP-10-D50x423-G70.1,50,423,10,950,8.46,5,0.401,70.1,23,0.595,52,53,52.5,TRUE
SP-10-D50x423-G72.8,50,423,10,950,8.46,5,0.401,72.8,23,0.618,54,56,55,TRUE
SP-10-D50x423-G75.4,50,423,10,950,8.46,5,0.401,75.4,23,0.64,58,59,58.5,TRUE
SP-10-D50x423-G80.7,50,423,10,950,8.46,5,0.401,80.7,23,0.685,64,67,65.5,TRUE
SP-10-D50x423-G83.45,50,423,10,950,8.46,5,0.401,83.45,23,0.708,68,70,69,TRUE
SP-10-D50x423-G85.5,50,423,10,950,8.46,5,0.401,85.5,23,0.726,70,73,71.5,TRUE
SP-10-D50x423-G90.4,50,423,10,950,8.46,5,0.401,90.4,23,0.767,77,80,78.5,TRUE
SP-10-D50x423-G91.9,50,423,10,950,8.46,5,0.401,91.9,23,0.78,81,83,82,TRUE
SP-10-D50x423-G97.65,50,423,10,950,8.46,5,0.401,97.65,23,0.829,89,91,90,TRUE
SP-10-D50x423-G99.7,50,423,10,950,8.46,5,0.401,99.7,23,0.846,90,94,92,TRUE
SP-10-D50x423-G103.4,50,423,10,950,8.46,5,0.401,103.4,23,0.878,97,98,97.5,TRUE
SP-10-D50x423-G107.15,50,423,10,950,8.46,5,0.401,107.15,23,0.91,101,103,102,TRUE
SP-10-D50x423-G109.35,50,423,10,950,8.46,5,0.401,109.35,23,0.928,102,105,103.5,TRUE
