experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us,Unnamed: 33
bello,linear_medium_noise,FDMatern52+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.2132280276707437,0.1708802368110973,0.1826405347774252,0.2184904684308254,1.7136289695447908,0.7533210557356702,0.4497391212673348,0.2,5.495735842420324e-05,0.0,0.0,ok,0.0763356,7.0,1200.0,6.342711179232508e-09,0.007649531,0.1166083999996772,0.0712064,0.0454020002507604,59.33866645743061,
bello,linear_medium_noise,FDMatern52+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.2104327093422366,0.1684565629310362,0.1741927699165346,0.2019151967128081,1.6624965493164752,0.7184773166315982,0.4156207078154066,0.2,0.000117027,0.0,0.0,ok,0.0757985,6.0,1040.0,2.266362916414885e-09,0.00782062,0.1015074999886564,0.062345700134756,0.0391618,59.94778859111158,
bello,linear_medium_noise,FDMatern52+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.2146558536734431,0.1724128423028067,0.1843557675603708,0.2156921623104596,1.712253608895509,0.7603957227719644,0.4439791091961046,0.2,7.702946736625405e-05,0.0,0.0,ok,0.0761912,7.0,1200.0,5.913262627479319e-09,0.007504994,0.1186414999974658,0.0729339,0.0457076,60.77825011743698,
bello,linear_medium_noise,FDMatern52+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.2272136839212518,0.1868459237133475,0.1981545532017822,0.1791618118317121,1.6815424379147057,0.8173103380293386,0.3687853131376685,0.2,0.000197908,0.0,0.0,ok,0.0759186,6.0,1040.0,2.5526343728136995e-09,0.007184024,0.103787200001534,0.0636101,0.0401771,61.163557774517145,
bello,linear_medium_noise,FDIntegratedEpanechnikov,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.1913038557611582,0.1444491561199563,0.093270495,0.050780801,1.517399868662597,0.3847044568570998,0.1045268151660787,1.0,0.000912642,0.0,0.0,ok,0.0776848,3.0,560.0,5.987538513983494e-09,0.004519699,0.0553925,0.0340254,0.0213671,60.759642760136295,
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.1913723411898421,0.1445634266874819,0.093190599,0.050696988,1.5187648662116138,0.3843749191602448,0.1043542942891448,1.0,0.000919969,0.0,0.0,ok,0.0810255,3.0,560.0,6.071907287688623e-09,0.004453441,0.0555721999990055,0.0339156,0.0216566,60.56357126778624,
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.1914958188419511,0.1448444730905751,0.092816958,0.049605812,1.522874469171372,0.3828337926269559,0.1021082270648974,1.0,0.000942314,0.0,0.0,ok,0.0800588,3.0,560.0,7.0760354397144e-09,0.004214727,0.0551324,0.0339735,0.0211589000100502,60.66696426257425,
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.1906646412467257,0.1437062407379258,0.092714656,0.050049597839327,1.515134036027156,0.3824118394166129,0.103021712176744,1.0,0.000909213,0.0,0.0,ok,0.080209,3.0,560.0,6.192395308456745e-09,0.004382657,0.0555647000001044,0.0341838,0.0213809000124456,61.04249997796224,
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.1900244552524104,0.1431860447414412,0.09165129,0.044869362,1.5203425663595584,0.3780258659941243,0.092358753,1.0,0.000853487,0.0,0.0,ok,0.0801251,3.0,560.0,7.647966960397287e-09,0.003774817,0.0554623,0.0342715,0.0211908,61.19910704001086,
bello,linear_medium_noise,savgol,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.1319970627359848,0.0584600302289714,0.093229531,0.2252267344662376,1.0082522925881856,0.3845354948325384,0.4636050001276222,0.4,0.000588128,0.0,0.0,failed: RuntimeError,0.0671019,,36560.0,,,6.705188300009468,5.190604599512881,1.514583700496587,141.97496169345953,
bello,linear_medium_noise,savgol+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.207822381,0.1667354020408359,0.1391483771429412,0.2307852495454696,1.81987132749036,0.5739328484827787,0.4750466053621157,0.0,0.0,0.0,0.0,failed: RuntimeError,0.0679939,,37120.0,,,6.878836699994281,5.329276900098193,1.5495597998960875,143.56888200695565,
bello,linear_medium_noise,savgol+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.2032056235537384,0.1613658947254436,0.1340027255881301,0.2032139947385611,1.7243848349747994,0.5527090403810228,0.4182941438101252,0.0,0.0,0.0,0.0,failed: RuntimeError,0.0689633,,40640.0,,,7.404466299994965,5.746990401443327,1.6574758985516382,141.41216538984563,
bello,linear_medium_noise,savgol+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.2088294100976691,0.1677728250755288,0.1398227420609023,0.2275869804362266,1.8184318920311684,0.5767143410609112,0.4684633125114126,0.0,0.0,0.0,0.0,failed: RuntimeError,0.0704356,,50240.0,,,9.125000400003046,7.090156399528496,2.034844,141.12572451290796,
bello,linear_medium_noise,savgol+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.2156359567488788,0.174691327,0.1661958181179256,0.1744719037418126,1.714867104344177,0.6854930057887896,0.359131642,0.0,0.0,0.0,0.0,failed: RuntimeError,0.0709432,,40720.0,,,7.2589557000028435,5.648316900871578,1.6106387991312658,138.71112232002892,
bello,linear_medium_noise,kissgp,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.1684576537283834,0.1101686995728814,0.2363254701972429,0.1843808032182952,1.236583994950756,0.9747505006113268,0.379528045381143,0.0,0.0,0.0,0.0,ok,0.3597115,3.0,560.0,6.579489903412864e-11,0.005902583,1.713545599995996,1.6728724001295632,0.0406732,2987.272143088506,
bello,linear_medium_noise,mlp,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.1786513857764218,0.1305356707841102,0.3246743599515237,0.2768091189454319,1.7271610516803584,1.3391552532796025,0.5697817886857529,0.6,0.002045126,0.0,0.0,ok,4.090972199992393,3.0,560.0,5.844229455408086e-10,0.012381793,5.444136200007051,5.401205800008029,0.0429303999990224,9645.010357157194,
